ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
003035.SZ,20210119,1.68,2.02,1.68,2.02,1.4,0.62,44.2857,59024.79,11893.6
003035.SZ,20210120,2.22,2.22,2.22,2.22,2.02,0.2,9.901,12626.82,2803.154
003035.SZ,20210121,2.44,2.44,2.44,2.44,2.22,0.22,9.9099,9947.91,2427.29
003035.SZ,20210122,2.68,2.68,2.68,2.68,2.44,0.24,9.8361,29364.73,7869.747
003035.SZ,20210125,2.95,2.95,2.95,2.95,2.68,0.27,10.0746,16252.98,4794.629
003035.SZ,20210126,3.25,3.25,3.25,3.25,2.95,0.3,10.1695,12972.17,4215.955
003035.SZ,20210127,3.58,3.58,3.58,3.58,3.25,0.33,10.1538,14084.66,5042.308
003035.SZ,20210128,3.94,3.94,3.94,3.94,3.58,0.36,10.0559,15952.89,6285.438
003035.SZ,20210129,4.33,4.33,4.33,4.33,3.94,0.39,9.8985,48102.37,20828.326
003035.SZ,20210201,4.76,4.76,4.76,4.76,4.33,0.43,9.9307,151809.56,72261.35
003035.SZ,20210202,5.24,5.24,5.24,5.24,4.76,0.48,10.084,106501.71,55806.896
003035.SZ,20210203,5.76,5.76,5.76,5.76,5.24,0.52,9.9237,50790.63,29255.402
003035.SZ,20210204,6.34,6.34,6.34,6.34,5.76,0.58,10.0694,712583.08,451777.672
003035.SZ,20210205,6.7,6.97,6.62,6.97,6.34,0.63,9.9369,1580349.02,1075879.35
003035.SZ,20210208,7.65,7.67,6.93,7.4,6.97,0.43,6.1693,4439730.2,3248418.637
003035.SZ,20210209,7.51,8.14,7.21,8.14,7.4,0.74,10.0,3287929.07,2543843.52
003035.SZ,20210210,8.01,8.55,7.33,7.33,8.14,-0.81,-9.9509,3836310.05,2969714.096
003035.SZ,20210218,7.34,7.67,6.98,7.18,7.33,-0.15,-2.0464,2955777.73,2162616.549
003035.SZ,20210219,7.02,7.15,6.47,6.7,7.18,-0.48,-6.6852,2477017.68,1657575.079
003035.SZ,20210222,6.68,7.1,6.49,6.79,6.7,0.09,1.3433,2232450.71,1526922.565
003035.SZ,20210223,6.6,6.6,6.18,6.18,6.79,-0.61,-8.9838,1947653.89,1226116.176
003035.SZ,20210224,6.09,6.24,5.76,5.81,6.18,-0.37,-5.9871,1684696.19,1004865.546
003035.SZ,20210225,5.9,6.1,5.7,6.1,5.81,0.29,4.9914,1482729.35,876263.304
003035.SZ,20210226,5.9,6.71,5.87,6.49,6.1,0.39,6.3934,2281824.71,1451820.366
003035.SZ,20210301,6.33,7.1,6.22,6.85,6.49,0.36,5.547,2432561.2,1627639.23
003035.SZ,20210302,7.02,7.54,6.98,7.54,6.85,0.69,10.073,2690605.13,1971888.137
003035.SZ,20210303,7.48,8.15,7.1,7.74,7.54,0.2,2.6525,3189819.73,2418686.504
003035.SZ,20210304,7.55,8.12,7.32,7.61,7.74,-0.13,-1.6796,2570091.24,1980171.444
003035.SZ,20210305,7.33,7.58,6.9,6.94,7.61,-0.67,-8.8042,2250388.56,1618762.676
003035.SZ,20210308,7.19,7.63,7.13,7.63,6.94,0.69,9.9424,1214286.41,909736.503
003035.SZ,20210309,7.8,8.3,7.44,7.67,7.63,0.04,0.5242,3333209.38,2639544.57
003035.SZ,20210310,6.95,7.87,6.95,7.3,7.67,-0.37,-4.824,2329977.65,1702900.626
003035.SZ,20210311,7.47,7.98,7.13,7.9,7.3,0.6,8.2192,2607816.5,1979401.7
003035.SZ,20210312,7.81,8.69,7.72,8.69,7.9,0.79,10.0,1919365.62,1589673.185
003035.SZ,20210315,9.01,9.56,8.28,8.55,8.69,-0.14,-1.611,3638140.35,3284149.55
003035.SZ,20210316,8.32,9.41,8.32,9.41,8.55,0.86,10.0585,3077728.86,2820937.763
003035.SZ,20210317,10.0,10.31,9.41,9.85,9.41,0.44,4.6759,3707806.37,3660010.146
003035.SZ,20210318,9.61,10.84,9.61,10.84,9.85,0.99,10.0508,3185729.73,3346335.374
003035.SZ,20210319,10.71,11.92,10.6,11.92,10.84,1.08,9.9631,2081873.04,2387414.241
003035.SZ,20210322,12.7,13.11,12.26,13.11,11.92,1.19,9.9832,1260989.63,1624807.979
