ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
688060.SH,20200710,252.18,328.0,252.0,252.61,44.47,208.14,468.0459,101437.46,2743831.207
688060.SH,20200713,241.2,248.0,212.07,230.22,252.61,-22.39,-8.8635,55952.99,1281549.469
688060.SH,20200714,228.0,246.66,219.86,243.88,230.22,13.66,5.9335,46270.02,1084539.049
688060.SH,20200715,243.88,243.88,212.2,212.69,243.88,-31.19,-12.7891,39535.54,894094.16
688060.SH,20200716,207.5,207.5,176.0,176.06,212.69,-36.63,-17.2222,33360.13,630291.85
688060.SH,20200717,170.1,183.0,167.5,169.01,176.06,-7.05,-4.0043,20102.73,349285.805
688060.SH,20200720,169.01,171.26,156.0,161.16,169.01,-7.85,-4.6447,20581.7,330419.824
688060.SH,20200721,163.33,168.61,161.0,166.8,161.16,5.64,3.4996,16790.08,276595.261
688060.SH,20200722,165.01,183.6,162.03,178.18,166.8,11.38,6.8225,23970.01,413676.737
688060.SH,20200723,173.22,181.99,171.98,176.0,178.18,-2.18,-1.2235,16969.49,299225.944
688060.SH,20200724,173.98,174.1,157.01,157.01,176.0,-18.99,-10.7898,19461.79,321306.029
688060.SH,20200727,157.31,161.98,150.08,151.07,157.01,-5.94,-3.7832,10723.45,164794.649
688060.SH,20200728,153.5,155.68,150.99,153.2,151.07,2.13,1.4099,7403.15,112934.956
688060.SH,20200729,153.51,159.86,151.7,159.1,153.2,5.9,3.8512,11741.4,184613.039
688060.SH,20200730,160.11,166.0,160.11,161.08,159.1,1.98,1.2445,12283.91,199669.332
688060.SH,20200731,161.08,164.99,157.0,160.3,161.08,-0.78,-0.4842,11815.31,189956.642
688060.SH,20200803,161.3,174.5,160.51,171.57,160.3,11.27,7.0306,20040.71,337886.007
688060.SH,20200804,173.0,175.5,166.05,167.03,171.57,-4.54,-2.6462,13147.77,223744.877
688060.SH,20200805,169.03,174.78,167.1,170.93,167.03,3.9,2.3349,12696.88,217760.113
688060.SH,20200806,170.93,170.93,163.0,164.59,170.93,-6.34,-3.7091,11952.95,197945.854
688060.SH,20200807,163.8,164.56,154.01,155.33,164.59,-9.26,-5.6261,11321.42,178654.408
688060.SH,20200810,155.01,160.43,154.9,158.09,155.33,2.76,1.7769,6278.12,98846.64
688060.SH,20200811,159.0,159.6,152.66,153.1,158.09,-4.99,-3.1564,7239.45,112697.863
688060.SH,20200812,154.0,156.28,146.33,149.03,153.1,-4.07,-2.6584,9888.54,147192.219
688060.SH,20200813,150.0,151.88,148.02,149.3,149.03,0.27,0.1812,4859.9,72666.309
688060.SH,20200814,148.66,151.49,148.5,151.05,149.3,1.75,1.1721,4068.17,61090.677
688060.SH,20200817,150.01,154.5,150.01,152.77,151.05,1.72,1.1387,4954.94,75550.413
688060.SH,20200818,152.77,153.99,150.68,151.68,152.77,-1.09,-0.7135,4123.96,62683.522
688060.SH,20200819,151.69,152.9,145.01,145.13,151.68,-6.55,-4.3183,8333.62,123539.881
688060.SH,20200820,144.8,144.8,139.55,139.81,145.13,-5.32,-3.6657,5743.36,80950.069
688060.SH,20200821,142.0,142.8,139.6,140.03,139.81,0.22,0.1574,3613.61,50943.385
688060.SH,20200824,140.97,147.67,138.0,146.92,140.03,6.89,4.9204,6229.94,89160.715
688060.SH,20200825,145.29,147.38,143.55,144.19,146.92,-2.73,-1.8582,4073.01,59130.787
688060.SH,20200826,145.8,145.8,136.8,137.35,144.19,-6.84,-4.7437,6523.14,91393.667
688060.SH,20200827,138.98,139.58,134.29,138.74,137.35,1.39,1.012,5583.87,76589.906
688060.SH,20200828,138.74,139.27,135.0,136.2,138.74,-2.54,-1.8308,4626.58,63163.487
688060.SH,20200831,137.78,140.58,136.91,138.5,136.2,2.3,1.6887,4773.35,66400.575
688060.SH,20200901,138.0,139.18,137.26,138.18,138.5,-0.32,-0.231,2725.26,37618.326
688060.SH,20200902,139.06,139.97,134.81,135.18,138.18,-3.0,-2.1711,4730.6,64313.128
688060.SH,20200903,135.18,136.81,134.26,135.87,135.18,0.69,0.5104,3075.91,41775.575
688060.SH,20200904,134.0,135.8,133.0,134.33,135.87,-1.54,-1.1334,2911.4,39113.971
688060.SH,20200907,134.33,135.7,128.01,128.03,134.33,-6.3,-4.6899,5747.94,75492.343
688060.SH,20200908,129.3,129.4,124.15,126.2,128.03,-1.83,-1.4294,3563.75,45063.307
688060.SH,20200909,125.2,125.76,117.64,117.64,126.2,-8.56,-6.7829,7388.82,88875.403
688060.SH,20200910,119.5,121.0,113.0,114.59,117.64,-3.05,-2.5927,4606.21,54249.111
688060.SH,20200911,114.0,117.8,113.43,117.11,114.59,2.52,2.1991,4082.86,47153.947
688060.SH,20200914,119.0,124.98,117.81,120.69,117.11,3.58,3.057,5095.67,62090.209
688060.SH,20200915,121.4,123.37,119.06,121.8,120.69,1.11,0.9197,2433.26,29452.186
688060.SH,20200916,121.99,121.99,118.56,119.92,121.8,-1.88,-1.5435,2626.31,31563.663
688060.SH,20200917,118.88,143.77,118.81,143.55,119.92,23.63,19.7048,19726.95,265541.131
688060.SH,20200918,139.73,143.0,133.59,133.59,143.55,-9.96,-6.9383,14081.88,192938.31
688060.SH,20200921,134.8,136.47,132.19,132.82,133.59,-0.77,-0.5764,5292.09,70984.628
688060.SH,20200922,131.7,134.51,130.13,130.21,132.82,-2.61,-1.9651,4726.53,62458.547
688060.SH,20200923,130.8,136.35,130.8,135.07,130.21,4.86,3.7324,6248.4,84087.679
688060.SH,20200924,134.92,134.92,130.9,132.44,135.07,-2.63,-1.9471,4535.85,60007.652
688060.SH,20200925,133.18,134.93,128.88,129.61,132.44,-2.83,-2.1368,3408.91,44875.879
688060.SH,20200928,132.19,132.21,125.0,126.01,129.61,-3.6,-2.7776,3450.34,43979.373
688060.SH,20200929,127.0,128.44,126.04,126.27,126.01,0.26,0.2063,2443.3,31068.808
688060.SH,20200930,126.3,128.24,122.4,122.4,126.27,-3.87,-3.0649,2643.74,32952.835
688060.SH,20201009,123.4,127.99,123.4,125.97,122.4,3.57,2.9167,2854.66,35976.633
688060.SH,20201012,126.49,135.0,125.9,134.49,125.97,8.52,6.7635,7552.33,99579.168
688060.SH,20201013,134.97,136.0,132.99,133.7,134.49,-0.79,-0.5874,5662.46,76178.181
688060.SH,20201014,132.53,134.43,131.86,133.1,133.7,-0.6,-0.4488,3600.69,47790.816
688060.SH,20201015,133.16,136.66,132.53,133.28,133.1,0.18,0.1352,5047.58,67815.826
688060.SH,20201016,133.6,133.6,129.01,130.35,133.28,-2.93,-2.1984,4104.1,53569.536
688060.SH,20201019,130.03,132.99,128.01,129.0,130.35,-1.35,-1.0357,2851.35,37000.862
688060.SH,20201020,129.13,129.25,126.02,128.6,129.0,-0.4,-0.3101,2474.67,31558.626
688060.SH,20201021,129.28,129.99,126.13,126.32,128.6,-2.28,-1.7729,2938.97,37477.334
688060.SH,20201022,126.7,130.48,124.54,129.65,126.32,3.33,2.6362,4858.32,62229.657
688060.SH,20201023,128.95,130.74,125.03,125.05,129.65,-4.6,-3.548,3435.51,43917.673
688060.SH,20201026,124.8,124.8,120.49,121.54,125.05,-3.51,-2.8069,3309.48,40370.451
688060.SH,20201027,121.11,122.25,121.02,121.78,121.54,0.24,0.1975,1665.92,20271.622
688060.SH,20201028,122.38,127.87,121.91,125.75,121.78,3.97,3.26,4405.65,55526.491
688060.SH,20201029,123.0,123.0,117.0,117.0,125.75,-8.75,-6.9583,8258.3,98405.678
688060.SH,20201030,116.0,117.79,112.5,112.55,117.0,-4.45,-3.8034,5803.62,66365.124
688060.SH,20201102,112.6,113.58,107.21,108.71,112.55,-3.84,-3.4118,5246.17,57546.458
688060.SH,20201103,109.9,114.65,109.2,113.59,108.71,4.88,4.489,4279.91,48361.248
688060.SH,20201104,115.4,118.88,113.22,113.8,113.59,0.21,0.1849,5211.15,60369.085
688060.SH,20201105,117.62,117.98,113.89,115.74,113.8,1.94,1.7047,3716.95,42955.204
688060.SH,20201106,116.05,117.45,113.32,114.37,115.74,-1.37,-1.1837,2570.09,29463.911
688060.SH,20201109,116.3,119.49,114.72,118.12,114.37,3.75,3.2788,5334.6,62754.587
688060.SH,20201110,117.83,118.78,116.01,116.28,118.12,-1.84,-1.5577,3037.08,35450.446
688060.SH,20201111,116.63,116.63,111.6,112.0,116.28,-4.28,-3.6808,3262.45,36998.706
688060.SH,20201112,112.71,113.98,111.5,112.34,112.0,0.34,0.3036,2043.34,23011.068
688060.SH,20201113,112.6,115.78,110.75,112.91,112.34,0.57,0.5074,2628.67,29714.795
688060.SH,20201116,112.91,114.39,112.91,113.8,112.91,0.89,0.7882,1874.6,21314.364
688060.SH,20201117,115.0,115.0,111.31,113.08,113.8,-0.72,-0.6327,2309.24,26061.977
688060.SH,20201118,113.0,113.99,112.05,112.24,113.08,-0.84,-0.7428,2387.38,26924.615
688060.SH,20201119,111.8,114.5,110.91,113.09,112.24,0.85,0.7573,2503.87,28227.872
688060.SH,20201120,112.71,113.86,111.4,111.85,113.09,-1.24,-1.0965,1927.39,21574.383
688060.SH,20201123,111.85,111.85,108.66,110.27,111.85,-1.58,-1.4126,2648.5,29171.739
688060.SH,20201124,110.27,111.52,109.1,110.07,110.27,-0.2,-0.1814,1739.8,19145.449
688060.SH,20201125,110.65,111.0,108.0,108.31,110.07,-1.76,-1.599,2223.59,24276.708
688060.SH,20201126,108.31,108.84,107.0,107.13,108.31,-1.18,-1.0895,2297.98,24716.403
688060.SH,20201127,107.01,114.0,107.01,110.55,107.13,3.42,3.1924,4805.67,53558.227
688060.SH,20201130,110.23,112.5,109.6,109.68,110.55,-0.87,-0.787,2308.48,25576.4
688060.SH,20201201,109.0,110.59,108.99,109.88,109.68,0.2,0.1823,2086.12,22919.868
688060.SH,20201202,111.0,111.0,108.76,110.09,109.88,0.21,0.1911,2386.67,26189.654
688060.SH,20201203,109.01,111.0,109.01,110.17,110.09,0.08,0.0727,2146.0,23616.32
688060.SH,20201204,109.8,116.0,109.8,112.86,110.17,2.69,2.4417,5685.43,64635.143
688060.SH,20201207,113.0,113.39,110.19,110.5,112.86,-2.36,-2.0911,3180.64,35449.758
688060.SH,20201208,110.5,112.45,110.0,110.39,110.5,-0.11,-0.0995,1715.08,19041.492
688060.SH,20201209,111.78,111.87,107.66,108.0,110.39,-2.39,-2.1651,2636.85,28639.166
688060.SH,20201210,107.15,107.69,104.8,105.49,108.0,-2.51,-2.3241,3405.02,35952.268
688060.SH,20201211,105.0,105.2,99.0,100.73,105.49,-4.76,-4.5123,4877.61,49415.044
688060.SH,20201214,100.13,101.36,97.11,98.96,100.73,-1.77,-1.7572,3096.5,30554.538
688060.SH,20201215,98.96,101.11,98.03,99.97,98.96,1.01,1.0206,2106.37,20981.125
688060.SH,20201216,99.1,100.99,94.55,94.99,99.97,-4.98,-4.9815,3500.59,33776.846
688060.SH,20201217,94.99,95.9,90.18,93.81,94.99,-1.18,-1.2422,4308.51,39975.681
688060.SH,20201218,93.82,95.0,91.58,91.98,93.81,-1.83,-1.9508,2312.45,21444.661
688060.SH,20201221,91.78,92.9,91.6,92.18,91.98,0.2,0.2174,2513.65,23198.307
688060.SH,20201222,91.85,91.99,88.0,88.18,92.18,-4.0,-4.3393,5256.11,46881.272
688060.SH,20201223,88.0,88.0,85.54,86.13,88.18,-2.05,-2.3248,4244.1,36736.793
688060.SH,20201224,85.61,86.01,81.7,81.75,86.13,-4.38,-5.0853,5769.21,48101.915
688060.SH,20201225,81.68,84.47,80.83,83.37,81.75,1.62,1.9817,4261.07,35371.937
688060.SH,20201228,83.5,84.34,80.55,81.1,83.37,-2.27,-2.7228,3060.36,25024.117
688060.SH,20201229,81.1,82.69,81.02,81.48,81.1,0.38,0.4686,2617.12,21385.8
688060.SH,20201230,81.87,81.87,80.33,80.78,81.48,-0.7,-0.8591,2402.33,19459.657
688060.SH,20201231,80.8,84.0,80.8,82.79,80.78,2.01,2.4882,3149.23,26019.521
688060.SH,20210104,83.2,85.18,82.3,85.18,82.79,2.39,2.8868,4944.34,41726.696
688060.SH,20210105,85.17,88.01,84.5,87.16,85.18,1.98,2.3245,4959.89,43054.103
688060.SH,20210106,87.16,87.55,83.72,83.94,87.16,-3.22,-3.6944,4006.4,34103.053
